mode,seed,episode,reward,length,energy,phase
normal,42,0,-72.39443,1600.0,2470.299999999985,training
normal,42,1,-61.376366,1600.0,2345.39999999998,training
normal,42,2,-69.54376,1600.0,2163.8999999999705,training
normal,42,3,-110.418051,96.0,142.49999999999994,training
normal,42,4,-103.950238,78.0,105.49999999999993,training
normal,42,5,-53.567102,1600.0,2064.399999999974,training
normal,42,6,-52.031993,1600.0,2008.099999999975,training
normal,42,7,-34.220686,1600.0,1877.7999999999756,training
normal,42,8,-110.290208,65.0,87.29999999999997,training
normal,42,9,-38.700712,1600.0,1786.0999999999767,training
normal,42,10,-117.281516,71.0,106.99999999999994,training
normal,42,11,-104.57991,76.0,120.49999999999994,training
normal,42,12,-109.340488,51.0,65.4,training
normal,42,13,-40.58031,1600.0,1650.3999999999785,training
normal,42,14,-22.225086,1600.0,1568.4999999999807,training
normal,42,15,-34.153628,1600.0,1546.1999999999837,training
normal,42,16,-36.004299,1600.0,1454.6999999999869,training
normal,42,17,-101.157449,81.0,89.79999999999994,training
normal,42,18,-24.20855,1600.0,1332.599999999991,training
normal,42,19,-15.403878,1600.0,1190.4000000000015,training
normal,42,20,-110.636389,77.0,112.29999999999991,training
normal,42,21,-102.969369,79.0,102.09999999999995,training
normal,42,22,-105.686658,62.0,88.99999999999994,training
normal,42,23,-19.108929,1600.0,1092.8000000000043,training
normal,42,24,-23.437988,1600.0,1101.6000000000017,training
normal,42,25,-26.542013,1600.0,1168.8000000000006,training
normal,42,26,-18.273737,1600.0,965.1000000000103,training
normal,42,27,-106.622552,112.0,113.59999999999992,training
normal,42,28,-19.993341,1600.0,929.9000000000106,training
normal,42,29,-13.38448,1600.0,850.9000000000088,training
normal,42,30,-15.79116,1600.0,828.3000000000092,training
normal,42,31,-103.700874,105.0,118.5999999999999,training
normal,42,32,-10.421072,1600.0,752.200000000007,training
normal,42,33,-11.967996,1600.0,729.6000000000087,training
normal,42,34,-102.9924,81.0,94.79999999999995,training
normal,42,35,-102.219735,71.0,88.69999999999995,training
normal,42,36,-102.288134,79.0,94.09999999999992,training
normal,42,37,-9.006352,1600.0,689.1000000000072,training
normal,42,38,-13.15314,1600.0,704.9000000000071,training
normal,42,39,-103.757032,96.0,114.39999999999988,training
normal,42,40,-121.147142,130.0,114.5999999999998,training
normal,42,41,-103.973083,78.0,96.29999999999995,training
normal,42,42,-13.562377,1600.0,656.5000000000061,training
normal,42,43,-104.748364,76.0,94.79999999999998,training
normal,42,44,-10.291231,1600.0,588.9000000000054,training
normal,42,45,-7.511677,1600.0,456.8000000000034,training
normal,42,46,-99.086365,63.0,69.8,training
normal,42,47,-106.269608,76.0,48.00000000000002,training
normal,42,48,-8.502439,1600.0,416.60000000000264,training
normal,42,49,-9.706929,1600.0,487.80000000000257,training
normal,42,50,-105.0481,114.0,121.09999999999988,training
normal,42,51,-5.09298,1600.0,429.900000000002,training
normal,42,52,-8.72405,1600.0,412.50000000000205,training
normal,42,53,-102.3045,58.0,38.100000000000016,training
normal,42,54,-105.940094,61.0,51.7,training
normal,42,55,-103.578889,83.0,89.59999999999995,training
normal,42,56,-3.952314,1600.0,304.59999999999997,training
normal,42,57,-105.379883,82.0,101.39999999999995,training
normal,42,58,-0.442716,1600.0,346.7000000000008,training
normal,42,59,-8.973664,1600.0,327.6000000000007,training
normal,42,60,-2.840392,1600.0,292.0,training
normal,42,61,-6.757949,1600.0,334.4000000000003,training
normal,42,62,0.146222,1600.0,240.19999999999928,training
normal,42,63,-1.61587,1600.0,255.69999999999928,training
normal,42,64,-5.141061,1600.0,317.5000000000002,training
normal,42,65,4.143648,1600.0,311.0,training
normal,42,66,-8.896517,1600.0,298.5999999999999,training
normal,42,67,0.008818,1600.0,251.6999999999994,training
normal,42,68,-1.26003,1600.0,252.89999999999944,training
normal,42,69,-1.344845,1600.0,318.30000000000024,training
normal,42,70,-1.720038,1600.0,317.4000000000003,training
normal,42,71,4.62098,1600.0,265.99999999999955,training
normal,42,72,-4.721334,1600.0,329.9000000000003,training
normal,42,73,3.31938,1600.0,346.5000000000006,training
normal,42,74,-0.252153,1600.0,359.7000000000007,training
normal,42,75,-104.266699,71.0,59.30000000000002,training
normal,42,76,-4.227458,1600.0,407.1000000000014,training
normal,42,77,3.91348,1600.0,447.50000000000193,training
normal,42,78,3.548535,1600.0,410.100000000001,training
normal,42,79,3.663729,1600.0,421.8000000000011,training
normal,42,80,-1.492398,1600.0,427.7000000000012,training
normal,42,81,8.889085,1600.0,349.40000000000055,training
normal,42,82,8.800866,1600.0,381.8000000000008,training
normal,42,83,3.183076,1600.0,460.30000000000166,training
normal,42,84,-0.178849,1600.0,551.2000000000025,training
normal,42,85,4.176077,1600.0,514.7000000000018,training
normal,42,86,11.243644,1600.0,526.0000000000022,training
normal,42,87,7.983172,1600.0,611.5000000000027,training
normal,42,88,12.197844,1600.0,595.6000000000024,training
normal,42,89,10.540065,1600.0,685.0000000000031,training
normal,42,90,10.230536,1600.0,694.0000000000035,training
normal,42,91,11.656748,1600.0,759.3000000000037,training
normal,42,92,-104.025634,103.0,111.9999999999999,training
normal,42,93,11.898506,1600.0,740.3000000000038,training
normal,42,94,11.738445,1600.0,671.5000000000033,training
normal,42,95,8.27712,1600.0,668.8000000000029,training
normal,42,96,16.198413,1600.0,685.1000000000029,training
normal,42,97,13.607654,1600.0,697.5000000000032,training
normal,42,98,16.955359,1600.0,694.400000000003,training
normal,42,99,14.697604,1600.0,760.0000000000034,training
normal,42,100,13.99089,1600.0,761.4000000000034,training
normal,42,101,15.90535,1600.0,759.2000000000037,training
normal,42,102,12.556441,1600.0,795.7000000000036,training
normal,42,103,14.566829,1600.0,767.6000000000039,training
normal,42,104,-111.16364,107.0,88.80000000000001,training
normal,42,105,15.686011,1600.0,774.6000000000035,training
normal,42,106,17.760844,1600.0,721.7000000000031,training
normal,42,107,16.19456,1600.0,691.5000000000031,training
normal,42,108,13.80679,1600.0,775.6000000000038,training
normal,42,109,18.212727,1600.0,757.5000000000036,training
normal,42,110,16.583583,1600.0,761.8000000000038,training
normal,42,111,21.378077,1600.0,802.2000000000039,training
normal,42,112,18.361101,1600.0,786.2000000000037,training
normal,42,113,19.648412,1600.0,818.0000000000039,training
normal,42,114,22.766922,1600.0,756.0000000000034,training
normal,42,115,22.703466,1600.0,757.4000000000035,training
normal,42,116,20.742194,1600.0,740.0000000000035,training
normal,42,117,20.390384,1600.0,765.2000000000035,training
normal,42,118,20.961767,1600.0,749.9000000000035,training
normal,42,119,18.709092,1600.0,731.2000000000036,training
normal,42,120,16.135334,1600.0,772.0000000000035,training
normal,42,121,18.668425,1600.0,779.4000000000038,training
normal,42,122,25.606787,1600.0,756.1000000000037,training
normal,42,123,21.195134,1600.0,787.8000000000038,training
normal,42,124,18.029089,1600.0,854.8000000000046,training
normal,42,125,23.946375,1600.0,760.4000000000035,training
normal,42,126,16.071668,1600.0,818.900000000004,training
normal,42,127,25.266725,1600.0,743.9000000000037,training
normal,42,128,23.149545,1600.0,735.8000000000035,training
normal,42,129,19.059688,1600.0,807.6000000000039,training
normal,42,130,23.797423,1600.0,740.0000000000038,training
normal,42,131,19.150062,1600.0,776.500000000004,training
normal,42,132,24.331791,1600.0,733.0000000000036,training
normal,42,133,24.605545,1600.0,802.2000000000039,training
normal,42,134,23.184979,1600.0,836.2000000000043,training
normal,42,135,26.639302,1600.0,801.6000000000038,training
normal,42,136,26.660758,1600.0,802.4000000000042,training
normal,42,137,24.902107,1600.0,775.2000000000038,training
normal,42,138,24.16237,1600.0,838.6000000000042,training
normal,42,139,23.351352,1600.0,843.0000000000047,training
normal,42,140,19.141079,1600.0,943.8000000000055,training
normal,42,141,24.095156,1600.0,853.2000000000044,training
normal,42,142,26.301845,1600.0,825.7000000000047,training
normal,42,143,20.437661,1600.0,854.2000000000045,training
normal,42,144,23.083133,1600.0,837.8000000000046,training
normal,42,145,27.114331,1600.0,836.2000000000046,training
normal,42,146,26.275312,1600.0,824.6000000000046,training
normal,42,147,19.639686,1600.0,862.7000000000047,training
normal,42,148,26.289973,1600.0,806.5000000000042,training
normal,42,149,21.657914,1600.0,847.1000000000046,training
normal,42,150,22.68564,1600.0,839.8000000000043,training
normal,42,151,15.547734,1600.0,903.5000000000049,training
normal,42,152,14.775451,1600.0,922.5000000000049,training
normal,42,153,20.427256,1600.0,912.0000000000051,training
normal,42,154,20.914888,1600.0,880.400000000005,training
normal,42,155,23.857772,1600.0,861.9000000000046,training
normal,42,156,21.702905,1600.0,914.3000000000053,training
normal,42,157,22.519956,1600.0,896.000000000005,training
normal,42,158,19.464941,1600.0,912.8000000000048,training
normal,42,159,24.663685,1600.0,840.7000000000046,training
normal,42,160,24.40616,1600.0,834.5000000000045,training
