mode,seed,episode,reward,length,energy,phase
normal,42,0,-132.244173,1600.0,2470.299999999985,training
normal,42,1,286.61327,1600.0,2378.3999999999796,training
normal,42,2,113.708979,1600.0,2267.999999999978,training
normal,42,3,0.93584,69.0,107.09999999999992,training
normal,42,4,134.49093,76.0,113.79999999999987,training
normal,42,5,75.368073,120.0,171.19999999999993,training
normal,42,6,77.12647,69.0,107.69999999999995,training
normal,42,7,50.390963,49.0,66.0,training
normal,42,8,302.471644,1600.0,2260.1999999999775,training
normal,42,9,36.056631,77.0,109.7999999999999,training
normal,42,10,265.189572,1600.0,2221.299999999976,training
normal,42,11,25.66922,41.0,64.19999999999999,training
normal,42,12,40.751112,59.0,82.89999999999998,training
normal,42,13,164.412845,86.0,127.79999999999994,training
normal,42,14,614.331297,1600.0,2268.8999999999787,training
normal,42,15,677.602709,1600.0,2263.4999999999764,training
normal,42,16,51.661159,57.0,93.89999999999996,training
normal,42,17,769.608719,1600.0,2250.799999999976,training
normal,42,18,765.201132,1600.0,2297.4999999999773,training
normal,42,19,1014.076941,1600.0,2330.5999999999813,training
normal,42,20,795.480595,1600.0,2270.299999999977,training
normal,42,21,137.725164,77.0,107.79999999999994,training
normal,42,22,111.205158,65.0,99.49999999999994,training
normal,42,23,334.716636,195.0,301.8000000000003,training
normal,42,24,118.312167,74.0,117.89999999999989,training
normal,42,25,417.052688,1600.0,2403.6999999999816,training
normal,42,26,112.797187,136.0,221.10000000000002,training
normal,42,27,971.520984,1600.0,2334.7999999999784,training
normal,42,28,6.080508,79.0,122.99999999999991,training
normal,42,29,910.154226,1600.0,2286.899999999976,training
normal,42,30,81.361805,46.0,82.69999999999999,training
normal,42,31,2.941455,93.0,147.99999999999991,training
normal,42,32,930.714696,1600.0,2297.299999999979,training
normal,42,33,816.622232,1600.0,2348.6999999999844,training
normal,42,34,1135.731891,1600.0,2374.499999999983,training
normal,42,35,1109.339871,1600.0,2435.59999999999,training
normal,42,36,23.834817,77.0,125.29999999999993,training
normal,42,37,1038.411161,1600.0,2425.4999999999927,training
normal,42,38,1187.304457,1600.0,2522.4999999999927,training
normal,42,39,194.237727,89.0,138.59999999999997,training
normal,42,40,1127.841015,1600.0,2527.199999999997,training
normal,42,41,1080.627166,1600.0,2477.99999999999,training
normal,42,42,1065.535988,1600.0,2479.099999999988,training
normal,42,43,855.472985,1600.0,2467.0999999999926,training
normal,42,44,1287.938699,1600.0,2525.699999999993,training
normal,42,45,1361.256959,1600.0,2513.899999999994,training
normal,42,46,118.615373,74.0,131.89999999999995,training
normal,42,47,1244.46416,1600.0,2515.2999999999965,training
normal,42,48,100.127493,69.0,104.59999999999997,training
normal,42,49,1160.809427,1600.0,2466.6999999999957,training
normal,42,50,1365.985671,1600.0,2474.099999999992,training
normal,42,51,1687.450102,1600.0,2485.999999999993,training
normal,42,52,90.870271,82.0,123.49999999999993,training
normal,42,53,1752.42022,1600.0,2509.999999999997,training
normal,42,54,1577.249629,1600.0,2535.499999999994,training
normal,42,55,2040.412079,1600.0,2574.799999999994,training
normal,42,56,2155.88431,1600.0,2555.899999999994,training
normal,42,57,2276.725571,1600.0,2603.3999999999955,training
normal,42,58,-20.26573,236.0,388.5000000000005,training
normal,42,59,40.795444,129.0,219.0,training
normal,42,60,2272.352426,1600.0,2686.099999999999,training
normal,42,61,2667.883206,1600.0,2679.000000000002,training
normal,42,62,40.72531,194.0,319.0000000000002,training
normal,42,63,2538.505143,1600.0,2672.799999999998,training
normal,42,64,2260.302222,1600.0,2773.800000000007,training
normal,42,65,15.748846,58.0,93.39999999999995,training
normal,42,66,1516.883066,1049.0,1766.2999999999881,training
normal,42,67,2624.184201,1600.0,2737.600000000002,training
normal,42,68,2901.326616,1600.0,2714.6000000000045,training
normal,42,69,2914.668919,1600.0,2733.900000000001,training
normal,42,70,3123.598858,1600.0,2724.800000000005,training
normal,42,71,2998.136854,1600.0,2723.100000000006,training
normal,42,72,2796.342964,1600.0,2753.300000000005,training
normal,42,73,11.366955,59.0,103.59999999999995,training
normal,42,74,3283.292859,1600.0,2741.900000000005,training
normal,42,75,3029.180601,1600.0,2753.1000000000004,training
normal,42,76,125.483911,93.0,147.1999999999999,training
normal,42,77,118.356215,76.0,130.69999999999987,training
normal,42,78,3005.571873,1600.0,2816.200000000006,training
