mode,seed,episode,reward,length,energy,phase
normal,42,0,-91.571221,70.0,69.20000000000002,training
normal,42,1,-808.165064,1600.0,1875.0000000000223,training
normal,42,2,-0.607385,123.0,131.1000000000001,training
normal,42,3,-704.225271,1600.0,1768.1000000000163,training
normal,42,4,-116.692501,56.0,59.39999999999998,training
normal,42,5,-329.833887,1600.0,1722.700000000017,training
normal,42,6,-734.329971,1600.0,1756.4000000000187,training
normal,42,7,-57.941169,64.0,72.3,training
normal,42,8,-391.365571,1600.0,1747.6000000000172,training
normal,42,9,-84.575821,52.0,49.19999999999998,training
normal,42,10,-255.751636,1600.0,1712.5000000000182,training
normal,42,11,-104.063797,62.0,61.09999999999998,training
normal,42,12,-531.690405,1600.0,1734.6000000000206,training
normal,42,13,-135.190814,110.0,109.50000000000001,training
normal,42,14,-574.079557,1600.0,1722.5000000000193,training
normal,42,15,-583.643749,1600.0,1673.7000000000157,training
normal,42,16,-133.825233,1600.0,1698.000000000023,training
normal,42,17,-451.584664,1600.0,1702.9000000000196,training
normal,42,18,-104.489377,64.0,60.9,training
normal,42,19,-441.246224,1600.0,1634.4000000000178,training
normal,42,20,-113.492291,1600.0,1532.8000000000186,training
normal,42,21,-87.395199,59.0,56.29999999999999,training
normal,42,22,-92.242749,1600.0,1566.700000000015,training
normal,42,23,-112.207687,1600.0,1608.2000000000164,training
normal,42,24,-65.796095,58.0,49.999999999999986,training
normal,42,25,-154.098515,66.0,56.299999999999976,training
normal,42,26,-104.788294,80.0,88.80000000000001,training
normal,42,27,-50.248008,1600.0,1669.0000000000134,training
normal,42,28,-45.560193,81.0,90.00000000000009,training
normal,42,29,-127.738391,87.0,71.8,training
normal,42,30,-206.205268,1600.0,1717.400000000012,training
normal,42,31,-341.110119,1600.0,1718.6000000000113,training
normal,42,32,-64.418691,110.0,113.30000000000007,training
normal,42,33,-127.059356,70.0,75.00000000000003,training
normal,42,34,86.343866,1600.0,1775.9000000000062,training
normal,42,35,-172.658376,1600.0,1799.0000000000066,training
normal,42,36,7.340455,1600.0,1771.3000000000027,training
normal,42,37,194.277188,1600.0,1861.3000000000034,training
normal,42,38,-40.863021,117.0,143.90000000000015,training
normal,42,39,-50.814712,1600.0,1883.1000000000006,training
normal,42,40,14.092183,1600.0,1904.1999999999932,training
normal,42,41,-236.763258,1600.0,1890.6999999999987,training
normal,42,42,-93.297499,1600.0,1897.9999999999934,training
normal,42,43,87.136115,1600.0,1960.59999999999,training
normal,42,44,189.621728,1600.0,1932.2999999999856,training
normal,42,45,62.302362,1600.0,2006.8999999999862,training
normal,42,46,81.274803,1600.0,2009.399999999984,training
normal,42,47,331.395634,1600.0,2162.3999999999705,training
normal,42,48,536.775994,1600.0,2195.4999999999654,training
normal,42,49,406.73697,1600.0,2200.4999999999613,training
normal,42,50,-115.503631,73.0,80.00000000000004,training
normal,42,51,431.353005,1600.0,2212.5999999999626,training
normal,42,52,406.213808,1600.0,2256.999999999958,training
normal,42,53,491.732047,1600.0,2259.5999999999594,training
normal,42,54,438.562459,1600.0,2300.0999999999535,training
normal,42,55,619.683597,1600.0,2343.799999999947,training
normal,42,56,-87.739559,64.0,88.60000000000005,training
normal,42,57,1021.293148,1600.0,2379.1999999999434,training
normal,42,58,652.165653,1600.0,2388.499999999942,training
normal,42,59,777.551161,1600.0,2402.9999999999413,training
normal,42,60,-79.005221,70.0,86.39999999999998,training
normal,42,61,464.290592,1600.0,2397.799999999941,training
normal,42,62,-54.729129,139.0,191.89999999999995,training
normal,42,63,993.248498,1600.0,2417.299999999938,training
normal,42,64,-110.765194,88.0,122.30000000000008,training
normal,42,65,-80.563677,1600.0,2389.7999999999374,training
normal,42,66,759.591897,1600.0,2428.5999999999367,training
normal,42,67,1016.811174,1600.0,2456.799999999934,training
normal,42,68,-73.126175,96.0,121.70000000000007,training
normal,42,69,-137.72378,68.0,83.70000000000005,training
normal,42,70,345.362524,1600.0,2424.3999999999387,training
normal,42,71,805.163952,1600.0,2456.1999999999334,training
normal,42,72,684.577603,1600.0,2451.2999999999347,training
normal,42,73,-120.18317,83.0,114.80000000000005,training
normal,42,74,-133.503056,90.0,139.4,training
normal,42,75,602.194636,1600.0,2445.1999999999343,training
normal,42,76,-23.420791,107.0,141.10000000000005,training
normal,42,77,-441.019189,152.0,190.89999999999984,training
normal,42,78,-615.23028,1600.0,2448.499999999933,training
