mode,seed,episode,reward,length,energy,phase
normal,42,0,-116.086074,1600.0,4013.4822,training
normal,42,1,-100.777297,1600.0,4019.8816,training
normal,42,2,-110.639815,1600.0,4019.4934,training
normal,42,3,-110.355175,138.0,340.8013,training
normal,42,4,-110.434889,55.0,137.5218,training
normal,42,5,-98.128584,1600.0,4032.9377,training
normal,42,6,-96.576302,1600.0,4079.7878,training
normal,42,7,-104.091883,60.0,155.7033,training
normal,42,8,-107.116838,1600.0,4070.7122,training
normal,42,9,-105.285433,67.0,161.0366,training
normal,42,10,-108.437184,78.0,202.22284,training
normal,42,11,-116.050636,97.0,250.73148,training
normal,42,12,-114.780429,65.0,167.93819,training
normal,42,13,-106.133176,68.0,163.70064,training
normal,42,14,-119.374127,92.0,236.02727,training
normal,42,15,-111.655136,209.0,513.5571,training
normal,42,16,-107.268267,83.0,209.34816,training
normal,42,17,-116.695267,70.0,175.07869,training
normal,42,18,-108.977028,75.0,185.4801,training
normal,42,19,-82.91806,1600.0,4051.2559,training
normal,42,20,-110.764596,70.0,172.95432,training
normal,42,21,-100.915226,138.0,346.68326,training
normal,42,22,-105.564485,1600.0,4098.793,training
normal,42,23,-104.345011,1600.0,4038.7988,training
normal,42,24,-114.597691,76.0,198.45695,training
normal,42,25,-102.620533,1600.0,4126.9243,training
normal,42,26,-115.09049,47.0,123.03101,training
normal,42,27,-101.956369,47.0,121.743515,training
normal,42,28,-103.416882,1600.0,4076.5002,training
normal,42,29,-108.613969,1600.0,4117.3643,training
normal,42,30,-106.962879,66.0,171.62291,training
normal,42,31,-118.909952,72.0,179.50827,training
normal,42,32,-95.318681,1600.0,4026.7441,training
normal,42,33,-95.146369,1600.0,4064.875,training
normal,42,34,-104.823191,1600.0,4113.4775,training
normal,42,35,-105.914197,1600.0,4125.5923,training
normal,42,36,-105.765424,1600.0,4123.316,training
normal,42,37,-103.52727,1600.0,4079.8088,training
normal,42,38,-108.855823,61.0,159.85425,training
normal,42,39,-95.392305,1600.0,4066.1777,training
normal,42,40,-92.485404,1600.0,4032.656,training
normal,42,41,-107.012332,58.0,145.23064,training
normal,42,42,-103.09581,85.0,211.15274,training
normal,42,43,-87.906946,1600.0,4072.3914,training
normal,42,44,-90.063176,1600.0,4091.9255,training
normal,42,45,-100.275725,78.0,197.82574,training
normal,42,46,-86.68188,1600.0,4072.8977,training
normal,42,47,-87.638258,1600.0,4097.8496,training
normal,42,48,-99.202419,67.0,172.7061,training
normal,42,49,-81.523217,1600.0,4049.5413,training
normal,42,50,-108.874539,96.0,246.32784,training
normal,42,51,-81.296124,1600.0,4098.147,training
normal,42,52,-80.658673,1600.0,4067.275,training
normal,42,53,-79.204245,1600.0,4084.3794,training
normal,42,54,-72.602812,1600.0,4033.1304,training
normal,42,55,-78.633682,1600.0,4028.764,training
normal,42,56,-73.622942,1600.0,4024.4602,training
normal,42,57,-68.14427,1600.0,4002.1287,training
normal,42,58,-63.532677,1600.0,3928.904,training
normal,42,59,-59.180557,1600.0,3961.7246,training
normal,42,60,-118.183139,103.0,256.5669,training
normal,42,61,-53.144377,1600.0,3899.7961,training
normal,42,62,-55.493879,1600.0,3927.6914,training
normal,42,63,-40.574986,1600.0,3875.6104,training
normal,42,64,-50.688129,1600.0,3887.5208,training
normal,42,65,-41.750123,1600.0,3884.131,training
normal,42,66,-41.608027,1600.0,3854.2986,training
normal,42,67,-33.645651,1600.0,3909.1052,training
normal,42,68,-10.414863,1600.0,3874.953,training
normal,42,69,-1.133054,1600.0,3903.7434,training
normal,42,70,1.923359,1600.0,3908.1694,training
normal,42,71,26.182279,1600.0,3905.296,training
normal,42,72,20.772838,1600.0,3859.4705,training
normal,42,73,-110.373913,79.0,189.53577,training
normal,42,74,4.545485,1600.0,3839.815,training
normal,42,75,22.348013,1600.0,3886.4011,training
normal,42,76,38.922334,1600.0,3908.0269,training
normal,42,77,57.336527,1600.0,3873.46,training
normal,42,78,-98.703281,129.0,318.19934,training
normal,42,79,54.68866,1600.0,3920.3164,training
normal,42,80,33.101355,1600.0,3962.8154,training
normal,42,81,89.740897,1600.0,3916.972,training
normal,42,82,77.011993,1600.0,3894.6355,training
normal,42,83,80.484619,1600.0,3907.8809,training
normal,42,84,71.630323,1600.0,3950.1655,training
normal,42,85,-112.215415,64.0,161.8072,training
normal,42,86,-106.255332,57.0,130.26651,training
normal,42,87,-113.490239,73.0,183.39366,training
normal,42,88,76.417508,1600.0,3969.0242,training
normal,42,89,-107.918273,75.0,186.8136,training
normal,42,90,69.030995,1600.0,3965.7393,training
normal,42,91,-109.851712,187.0,432.47598,training
normal,42,92,-111.303464,62.0,149.0786,training
normal,42,93,52.185781,1600.0,3944.2937,training
normal,42,94,-117.1596,63.0,152.40186,training
normal,42,95,69.138671,1600.0,3926.596,training
normal,42,96,92.362426,1600.0,3953.3643,training
normal,42,97,-69.560024,712.0,1721.0798,training
normal,42,98,97.134576,1600.0,3891.619,training
normal,42,99,87.800726,1600.0,3971.619,training
normal,42,100,88.644454,1600.0,3954.1025,training
normal,42,101,-19.316783,1192.0,2956.2112,training
normal,42,102,116.146817,1600.0,3955.6377,training
normal,42,103,-21.992834,1380.0,3360.0664,training
