mode,seed,episode,reward,length,energy,phase
normal,42,0,1963.384577,1143.0,2587.6023,training
normal,42,1,1971.059186,1165.0,2646.5764,training
normal,42,2,1954.647722,1131.0,2582.4653,training
normal,42,3,1949.041751,1136.0,2606.0159,training
normal,42,4,868.335928,652.0,1460.1025,training
normal,42,5,1975.794047,1147.0,2646.5706,training
normal,42,6,1955.646527,1136.0,2550.0542,training
normal,42,7,2005.49056,1167.0,2630.2517,training
normal,42,8,1933.597574,1123.0,2575.3298,training
normal,42,-1,1826.942626953125,1054.2,2234.247,evaluation
heavy,42,-1,2221.02294921875,1290.4,2789.892,evaluation
slippery,42,-1,2427.00146484375,1600.0,3488.4128,evaluation
