mode,seed,episode,reward,length,energy,phase
normal,42,0,1223.858971,1143.0,2587.6023,training
normal,42,1,1233.737862,1177.0,2665.023,training
normal,42,2,366.47081,548.0,1224.6853,training
normal,42,3,1200.721284,1110.0,2539.8418,training
normal,42,4,1198.784861,1137.0,2561.5679,training
normal,42,5,368.755875,502.0,1160.5377,training
normal,42,6,1244.028419,1231.0,2783.7778,training
normal,42,7,1248.368921,1174.0,2670.6543,training
normal,42,8,1202.924024,1146.0,2637.3882,training
normal,42,9,1151.512152,1134.0,2583.15,training
normal,42,10,1279.31803,1299.0,2998.6584,training
normal,42,11,1225.097944,1116.0,2580.9548,training
normal,42,12,136.022243,279.0,633.3031,training
normal,42,13,1111.898771,1137.0,2613.2444,training
normal,42,14,1219.913553,1135.0,2553.5825,training
normal,42,15,1226.824663,1171.0,2692.703,training
normal,42,16,1187.967763,1103.0,2521.975,training
normal,42,17,1190.809148,1126.0,2587.1992,training
normal,42,18,1216.457272,1118.0,2538.4734,training
normal,42,19,1209.548875,1145.0,2610.736,training
normal,42,20,1167.507611,1103.0,2516.2344,training
normal,42,21,4.929788,240.0,534.5992,training
normal,42,22,1220.121734,1101.0,2520.047,training
normal,42,23,1218.198091,1078.0,2445.0896,training
normal,42,24,1247.240844,1213.0,2752.2349,training
normal,42,25,1246.557874,1145.0,2596.1292,training
normal,42,26,1181.963271,1139.0,2575.8855,training
normal,42,27,1243.463621,1111.0,2552.7222,training
normal,42,28,1237.456156,1116.0,2569.336,training
normal,42,29,1214.866424,1121.0,2528.8083,training
normal,42,30,1199.510517,1071.0,2456.596,training
normal,42,31,1203.049694,1069.0,2429.849,training
normal,42,32,1229.408553,1155.0,2631.3667,training
normal,42,33,1234.267417,1113.0,2508.18,training
normal,42,34,987.717353,947.0,2173.002,training
normal,42,35,1211.951686,1076.0,2421.0525,training
normal,42,36,1261.001759,1129.0,2562.348,training
normal,42,37,357.514997,483.0,1083.8715,training
normal,42,38,1204.298297,1092.0,2484.0984,training
normal,42,39,544.979548,652.0,1446.7229,training
normal,42,40,1215.290404,1084.0,2433.6753,training
normal,42,41,559.285637,684.0,1519.0211,training
normal,42,42,26.903266,173.0,377.5221,training
normal,42,43,1245.073826,1083.0,2437.9019,training
normal,42,44,1263.023462,1114.0,2504.5405,training
normal,42,45,64.868263,242.0,532.59326,training
normal,42,46,959.953065,1163.0,2594.2917,training
normal,42,47,1280.33946,1109.0,2515.2498,training
normal,42,48,1236.08225,1098.0,2455.1746,training
normal,42,49,1269.42893,1081.0,2440.7998,training
normal,42,50,1230.129961,1137.0,2553.5205,training
normal,42,51,327.487452,400.0,911.06445,training
normal,42,52,1255.696218,1078.0,2434.7175,training
normal,42,53,1229.94578,1071.0,2438.0474,training
normal,42,54,1270.8342,1092.0,2466.0667,training
normal,42,55,-119.004469,81.0,166.57422,training
normal,42,56,1221.543013,1080.0,2422.086,training
normal,42,57,1287.546717,1086.0,2494.612,training
normal,42,58,1222.235679,1094.0,2451.139,training
normal,42,59,704.871624,713.0,1607.785,training
normal,42,60,802.946124,818.0,1844.213,training
normal,42,61,1249.545355,1144.0,2555.759,training
normal,42,62,211.834919,369.0,813.75494,training
normal,42,63,422.029307,499.0,1139.5698,training
normal,42,64,1244.349856,1145.0,2543.0605,training
normal,42,65,1265.962598,1058.0,2368.5134,training
normal,42,66,1240.323099,1110.0,2464.7383,training
normal,42,67,561.586467,685.0,1547.4586,training
normal,42,68,747.044163,802.0,1797.0675,training
normal,42,69,1276.086384,1074.0,2449.0718,training
normal,42,70,1302.820021,1138.0,2577.5598,training
normal,42,71,62.057772,218.0,482.11444,training
normal,42,72,806.438157,797.0,1819.2805,training
normal,42,73,67.521016,208.0,450.42184,training
normal,42,74,1254.69687,1115.0,2529.065,training
normal,42,75,208.7657,359.0,799.1387,training
normal,42,76,1251.560343,1091.0,2473.789,training
normal,42,77,1269.650585,1103.0,2530.2737,training
normal,42,78,936.981293,875.0,2029.9652,training
normal,42,79,1254.177944,1113.0,2543.1626,training
normal,42,80,1267.277445,1084.0,2461.919,training
normal,42,81,575.441043,633.0,1434.037,training
normal,42,82,1253.077408,1128.0,2553.4001,training
normal,42,83,302.636632,437.0,967.14435,training
normal,42,84,1218.984958,1117.0,2529.391,training
normal,42,85,661.69223,704.0,1602.6469,training
normal,42,86,1258.479028,1109.0,2516.9546,training
normal,42,87,524.675258,679.0,1542.7573,training
normal,42,88,1257.570327,1089.0,2489.6477,training
normal,42,89,1257.586309,1172.0,2700.897,training
normal,42,90,-75.949165,106.0,226.4405,training
normal,42,91,1223.774609,1043.0,2387.1045,training
normal,42,92,1294.276458,1101.0,2533.5547,training
normal,42,93,1241.232305,1031.0,2341.808,training
normal,42,94,1274.375096,1087.0,2486.7407,training
normal,42,95,684.51972,757.0,1704.0304,training
normal,42,96,1246.718557,1063.0,2415.0818,training
normal,42,97,1260.436187,1141.0,2624.5178,training
normal,42,98,1250.791959,1091.0,2480.7148,training
normal,42,99,1247.91662,1043.0,2390.2986,training
normal,42,100,1260.530202,1043.0,2408.5642,training
normal,42,101,109.148967,261.0,584.44946,training
normal,42,102,500.355494,554.0,1262.9756,training
normal,42,103,334.528189,435.0,986.37146,training
normal,42,104,459.506367,560.0,1258.1901,training
normal,42,105,269.302462,354.0,811.1037,training
normal,42,106,1272.141159,1088.0,2487.0198,training
normal,42,107,1281.405067,1106.0,2501.0723,training
normal,42,108,1244.390884,1062.0,2437.391,training
normal,42,109,1250.752153,1058.0,2444.3596,training
normal,42,110,1318.749468,1120.0,2578.6438,training
normal,42,111,903.887576,882.0,2022.1116,training
normal,42,112,1267.871805,1083.0,2530.5461,training
normal,42,113,1266.211392,1089.0,2494.0913,training
normal,42,114,1267.705637,1064.0,2454.96,training
normal,42,115,1292.794623,1093.0,2508.0947,training
normal,42,116,644.825556,677.0,1553.1978,training
normal,42,117,542.936916,563.0,1288.5983,training
normal,42,118,1267.126889,1030.0,2341.3525,training
normal,42,119,383.952482,461.0,1044.8153,training
normal,42,120,1308.70249,1112.0,2550.8176,training
normal,42,121,1302.161183,1159.0,2598.4353,training
normal,42,122,1276.907728,1118.0,2543.8494,training
normal,42,123,736.655201,736.0,1655.9784,training
normal,42,124,1295.942215,1104.0,2541.3691,training
normal,42,125,1234.605697,1030.0,2350.2454,training
normal,42,126,1174.543689,1105.0,2526.8137,training
normal,42,127,227.173694,322.0,718.94714,training
